?class	?labels	?synonyms	?definitions
<http://purl.jp/bio/10/gmo/GMO_001125>	"リン酸水素二カリウム三水和物 | Potassium phosphate dibasic trihydrate"	"Dipotassium phosphate trihydrate"	
<http://purl.jp/bio/10/gmo/GMO_001126>	"Trimethylamine hydrochloride | トリメチルアミン塩酸"		
<http://purl.jp/bio/10/gmo/GMO_001127>	"Horse serum | ウマ血清"		"Serum derived from horse."
<http://purl.jp/bio/10/gmo/GMO_001128>	"硫酸アンモニウム鉄(II)七水和物 | Ammonium iron(II) sulfate heptahydrate"		"Ammonium iron(II) sulfate heptahydrate"
<http://purl.jp/bio/10/gmo/GMO_001129>	"塩化マンガン(II)二水和物 | Manganese chloride dihydrate"	"Manganous chloride dihydrate"	
<http://purl.jp/bio/10/gmo/GMO_001130>	"Bacto &trade; Agar"		
<http://purl.jp/bio/10/gmo/GMO_001131>	"Tap water | 水道水"		
<http://purl.jp/bio/10/gmo/GMO_001132>	"チオグリコール酸ナトリウム | Sodium thioglycolate"	"Sodium thioglycollate"	
<http://purl.jp/bio/10/gmo/GMO_001133>	"Urea | 尿素"		
<http://purl.jp/bio/10/gmo/GMO_001134>	"Oatmeal | オートミール"		
<http://purl.jp/bio/10/gmo/GMO_001135>	"Mannitol | マンニトール"		"A sugar alcohol, mannitol"
<http://purl.jp/bio/10/gmo/GMO_001136>	"Nickel(II) sulfate hexahydrate | 硫酸ニッケル(II)六水和物"		
<http://purl.jp/bio/10/gmo/GMO_001137>	"Cellobiose | セロビオース"		
<http://purl.jp/bio/10/gmo/GMO_001138>	"α-グリセロリン酸 | Glycerol 3-phosphate"		
<http://purl.jp/bio/10/gmo/GMO_001139>	"Fe(III)-EDTA | エチレンジアミン四酢酸ー鉄(Ⅲ)"	"Iron(III)-EDTA"	
<http://purl.jp/bio/10/gmo/GMO_001140>	"N-Z-Amine &reg; A (Sheffield)"		"A high quality source of amino acids and peptides produced by enzymatic hydrolysis of casein"
<http://purl.jp/bio/10/gmo/GMO_001141>	"Ammonium acetate | 酢酸アンモニウム"		"Ammonium acetate"
<http://purl.jp/bio/10/gmo/GMO_001142>	"HEPES | HEPES"	"4-(2-hydroxyethyl)-1-piperazineethanesulfonic acid"	"HEPES is a Good's buffer"
<http://purl.jp/bio/10/gmo/GMO_001143>	"Sodium malate | リンゴ酸ナトリウム"		
<http://purl.jp/bio/10/gmo/GMO_001144>	"Bacto &trade; Proteose peptone No. 3"		"An enzymatic digest of protein"
<http://purl.jp/bio/10/gmo/GMO_001145>	"Infusion from Liver"	"Liver, infusion from"	
<http://purl.jp/bio/10/gmo/GMO_001146>	"Bacto &trade; Heart infusion broth"		
<http://purl.jp/bio/10/gmo/GMO_001147>	"Ammonium ferric citrate | クエン酸鉄アンモニウム"		"Ammonium ferric citrate"
<http://purl.jp/bio/10/gmo/GMO_001148>	"Disodium EDTA dihydrate"		
<http://purl.jp/bio/10/gmo/GMO_001149>	"Bacto &trade; Brain heart infusion"	"Bacto &trade; brain heart infusion"	
<http://purl.jp/bio/10/gmo/GMO_001150>	"Manganese sulfate pentahydrate | 硫酸マンガン(II)五水和物"		
<http://purl.jp/bio/10/gmo/GMO_001151>	"硫酸バナジルn水和物 | Vanadyl sulfate n-hydrate"		
<http://purl.jp/bio/10/gmo/GMO_001152>	"MOPS | MOPS"	"3-(N-morpholino)propanesulfonic acid"	"MOPS is one of the Good's buffers"
<http://purl.jp/bio/10/gmo/GMO_001153>	"Strontium chloride | 塩化ストロンチウム"		
<http://purl.jp/bio/10/gmo/GMO_001154>	"Magnesium chloride | 塩化マグネシウム"		
