?class	?labels	?synonyms	?definitions
<http://purl.jp/bio/10/mpo#MPO_04105>	"MK-9(H0)"	"Menaquinone-9(H0)"	
<http://purl.jp/bio/10/mpo#MPO_04106>	"MK-9(H2)"	"Menaquinone-9(H2)"	
<http://purl.jp/bio/10/mpo#MPO_04107>	"MK-9(H4)"	"Menaquinone-9(H4)"	
<http://purl.jp/bio/10/mpo#MPO_04108>	"MK-9(H6)"	"Menaquinone-9(H6)"	
<http://purl.jp/bio/10/mpo#MPO_04109>	"MK-9(H8)"	"Menaquinone-9(H8)"	
<http://purl.jp/bio/10/mpo#MPO_04110>	"MK-10(H4)"	"Menaquinone-10(H4)"	
<http://purl.jp/bio/10/mpo#MPO_04111>	"MK-10(H6)"	"Menaquinone-10(H6)"	
<http://purl.jp/bio/10/mpo#MPO_04112>	"MK-10(H8)"	"Menaquinone-10(H8)"	
<http://purl.jp/bio/10/mpo#MPO_04113>	"MK-11(H6)"	"Menaquinone-11(H6)"	
<http://purl.jp/bio/10/mpo#MPO_04114>	"MTK-7(H2)"	"Methionaquinone-7(H2)"	
<http://purl.jp/bio/10/mpo#MPO_04115>	"MTK-7(H4)"	"Methionaquinone-7(H4)"	
<http://purl.jp/bio/10/mpo#MPO_04116>	"TMK"		
<http://purl.jp/bio/10/mpo#MPO_04117>	"TMK-6"		
<http://purl.jp/bio/10/mpo#MPO_04118>	"RQ"		
<http://purl.jp/bio/10/mpo#MPO_04119>	"RQ-8"	"Rhodoquinone-8"	
<http://purl.jp/bio/10/mpo#MPO_04120>	"RQ-10"	"Rhodoquinone-10"	
<http://purl.jp/bio/10/mpo#MPO_04121>	"MK-10(H2)"	"Menaquinone-10(H2)"	
<http://purl.jp/bio/10/mpo#MPO_04122>	"MK-10(H0)"	"Menaquinone-10(H0)"	
<http://purl.jp/bio/10/mpo#MPO_04123>	"MK-11(H4)"	"Menaquinone-11(H4)"	
<http://purl.jp/bio/10/mpo#MPO_04124>	"MK-11(H2)"	"Menaquinone-11(H2)"	
<http://purl.jp/bio/10/mpo#MPO_04125>	"MK-4(H6)"	"Menaquinone-4(H6)"	
<http://purl.jp/bio/10/mpo#MPO_04126>	"MK-4(H8)"		
<http://purl.jp/bio/10/mpo#MPO_04127>	"MK-5(H8)"	"Menaquinone-5(H8)"	
<http://purl.jp/bio/10/mpo#MPO_04128>	"MK-5(H10)"	"Menaquinone-5(H10)"	
<http://purl.jp/bio/10/mpo#MPO_04129>	"MK-6(H4)"	"Menaquinone-6(H4)"	
<http://purl.jp/bio/10/mpo#MPO_04130>	"MK-6(H8)"	"Menaquinone-6(H8)"	
<http://purl.jp/bio/10/mpo#MPO_04131>	"MK-6(H10)"	"Menaquinone-6(H10)"	
<http://purl.jp/bio/10/mpo#MPO_04132>	"MK-7(H0)"	"Menaquinone-7(H0)"	
<http://purl.jp/bio/10/mpo#MPO_04133>	"MK-7(H2)"	"Menaquinone-7(H2)"	
<http://purl.jp/bio/10/mpo#MPO_04134>	"MK-7(H4)"	"Menaquinone-7(H4)"	
<http://purl.jp/bio/10/mpo#MPO_04135>	"MK-7(H14)"	"Menaquinone-7(H14)"	
<http://purl.jp/bio/10/mpo#MPO_04136>	"MK-8(H6)"	"Menaquinone-8(H6)"	
