substrate_label	card_count	example_cards	metatraits_chebi_id	chebi_label_from_oak	label_match	kgm_chebi_id	kgm_chebi_label	kgm_label_match	kgm_matches_metatraits	audit_status
6-Aminopenicillanic acid	1	produces-6-aminopenicillanic-acid	CHEBI:16705	6-aminopenicillanic acid	exact			not_found	n/a	verified
6-deoxy-d-galactose	1	carbon-source-6-deoxy-d-galactose	CHEBI:2179	D-fucopyranose	mismatch			not_found	n/a	mismatch
6-O-alpha-D-glucopyranosyl-D-gluconic acid	1	growth-6-o-alpha-d-glucopyranosyl-d-gluconic-acid			no_curie			not_found	n/a	no_curie
6-phospho-beta-galactosidase (EC3.2.1.85)	1	enzyme-activity-6-phospho-beta-galactosidase-ec3-2-1-85			no_curie			not_found	n/a	no_curie
6.5% NaCl	1	growth-6-5-nacl			no_curie			not_found	n/a	no_curie
7-Hydro-8-methylpteroylglutamylglutamic acid	1	produces-7-hydro-8-methylpteroylglutamylglutamic-acid			no_curie			not_found	n/a	no_curie
8-azaguanine	1	produces-8-azaguanine	CHEBI:63486	8-azaguanine	exact			not_found	n/a	verified
abietate	1	growth-abietate	CHEBI:35680	abietate	exact			not_found	n/a	verified
abikoviromycin	1	produces-abikoviromycin			no_curie			not_found	n/a	no_curie
aburamycin A	1	produces-aburamycin-a			no_curie			not_found	n/a	no_curie
abyssomicin B	1	produces-abyssomicin-b			no_curie			not_found	n/a	no_curie
abyssomicin C	1	produces-abyssomicin-c			no_curie			not_found	n/a	no_curie
abyssomicin D	1	produces-abyssomicin-d			no_curie			not_found	n/a	no_curie
abyssomicin G	1	produces-abyssomicin-g			no_curie			not_found	n/a	no_curie
abyssomicin H	1	produces-abyssomicin-h			no_curie			not_found	n/a	no_curie
ACC deaminase	1	enzyme-activity-acc-deaminase			no_curie			not_found	n/a	no_curie
acetamide	7	assimilation-acetamide; builds-base-from-acetamide; carbon-source-acetamide	CHEBI:27856	acetamide	exact			not_found	n/a	verified
